time,parent,analyte,matrix,species,conc
2,atrazine,dea,soil,LF,0.017401323
2,atrazine,dea,soil,LF,0.049324989
2,atrazine,dea,soil,LF,0.024514369
2,atrazine,dea,soil,LF,0.015483107
4,atrazine,dea,soil,LF,0.01904063
4,atrazine,dea,soil,LF,0.03435691
4,atrazine,dea,soil,LF,0.068179407
4,atrazine,dea,soil,LF,0.02647731
4,atrazine,dea,soil,LF,0.034814925
4,atrazine,dea,soil,LF,0.026439811
6,atrazine,dea,soil,LF,0.029437985
6,atrazine,dea,soil,LF,0.029266023
6,atrazine,dea,soil,LF,0.022624179
6,atrazine,dea,soil,LF,0.034093541
6,atrazine,dea,soil,LF,0.0286258
6,atrazine,dea,soil,LF,0.020529628
8,atrazine,dea,soil,LF,0.021728381
8,atrazine,dea,soil,LF,0.020895864
8,atrazine,dea,soil,LF,0.022134039
8,atrazine,dea,soil,LF,0.02179931
8,atrazine,dea,soil,LF,0.014853901
8,atrazine,dea,soil,LF,0.016976421
10,atrazine,dea,soil,LF,0.038222389
10,atrazine,dea,soil,LF,0.018313636
10,atrazine,dea,soil,LF,0.025390667
10,atrazine,dea,soil,LF,0.046216135
10,atrazine,dea,soil,LF,0.015454452
10,atrazine,dea,soil,LF,0.015354169
0,chloro,chloromet,amphib,LF,0.049534914
0,chloro,chloromet,amphib,LF,0.09431606
0,chloro,chloromet,amphib,LF,0.065894674
0,chloro,chloromet,amphib,LF,0.066735354
0,chloro,chloromet,amphib,LF,0.05459792
0,chloro,chloromet,amphib,LF,0.110663384
2,chloro,chloromet,amphib,LF,0.034119313
2,chloro,chloromet,amphib,LF,0.137711222
2,chloro,chloromet,amphib,LF,0.038844494
2,chloro,chloromet,amphib,LF,0.034159045
2,chloro,chloromet,amphib,LF,0.189112734
2,chloro,chloromet,amphib,LF,0.073108651
4,chloro,chloromet,amphib,LF,0.046410221
4,chloro,chloromet,amphib,LF,0.054321653
4,chloro,chloromet,amphib,LF,0.047421024
4,chloro,chloromet,amphib,LF,0.077330002
4,chloro,chloromet,amphib,LF,0.061659489
4,chloro,chloromet,amphib,LF,0.075510303
6,chloro,chloromet,amphib,LF,0.027463652
6,chloro,chloromet,amphib,LF,0.051562219
6,chloro,chloromet,amphib,LF,0.177693722
6,chloro,chloromet,amphib,LF,0.029626977
6,chloro,chloromet,amphib,LF,0.040356887
6,chloro,chloromet,amphib,LF,0.048697065
8,chloro,chloromet,amphib,LF,0.100520033
8,chloro,chloromet,amphib,LF,0.066249062
8,chloro,chloromet,amphib,LF,0.135997717
8,chloro,chloromet,amphib,LF,0.086171947
8,chloro,chloromet,amphib,LF,0.039905604
8,chloro,chloromet,amphib,LF,0.07148401
10,chloro,chloromet,amphib,LF,0.026595904
10,chloro,chloromet,amphib,LF,0.033621317
10,chloro,chloromet,amphib,LF,0.027361678
10,chloro,chloromet,amphib,LF,0.034005049
10,chloro,chloromet,amphib,LF,0.074157011
10,chloro,chloromet,amphib,LF,0.032016276
0,chloro,chloromet,soil,LF,0.035439856
0,chloro,chloromet,soil,LF,0.031817107
0,chloro,chloromet,soil,LF,0.024460784
0,chloro,chloromet,soil,LF,0.05242399
0,chloro,chloromet,soil,LF,0.028484496
0,chloro,chloromet,soil,LF,0.028878049
2,chloro,chloromet,soil,LF,0.042042668
2,chloro,chloromet,soil,LF,0.043897245
2,chloro,chloromet,soil,LF,0.032071409
2,chloro,chloromet,soil,LF,0.02161534
2,chloro,chloromet,soil,LF,0.028614122
2,chloro,chloromet,soil,LF,0.023672556
4,chloro,chloromet,soil,LF,0.01955478
4,chloro,chloromet,soil,LF,0.027465103
4,chloro,chloromet,soil,LF,0.028391999
4,chloro,chloromet,soil,LF,0.036035854
4,chloro,chloromet,soil,LF,0.014400845
4,chloro,chloromet,soil,LF,0.02647358
6,chloro,chloromet,soil,LF,0.02495662
6,chloro,chloromet,soil,LF,0.029331508
6,chloro,chloromet,soil,LF,0.030301572
6,chloro,chloromet,soil,LF,0.025046843
6,chloro,chloromet,soil,LF,0.021140833
6,chloro,chloromet,soil,LF,0.018835428
8,chloro,chloromet,soil,LF,0.032858824
8,chloro,chloromet,soil,LF,0.033659206
8,chloro,chloromet,soil,LF,0.019855881
8,chloro,chloromet,soil,LF,0.02468558
8,chloro,chloromet,soil,LF,0.02070677
8,chloro,chloromet,soil,LF,0.022588965
10,chloro,chloromet,soil,LF,0.02306099
10,chloro,chloromet,soil,LF,0.025883352
10,chloro,chloromet,soil,LF,0.031604685
10,chloro,chloromet,soil,LF,0.019487689
10,chloro,chloromet,soil,LF,0.031149257
10,chloro,chloromet,soil,LF,0.023836404
0,chloro,chloro,amphib,LF,
0,chloro,chloro,amphib,LF,
0,chloro,chloro,amphib,LF,
0,chloro,chloro,amphib,LF,
0,chloro,chloro,amphib,LF,
0,chloro,chloro,amphib,LF,
2,chloro,chloro,amphib,LF,
2,chloro,chloro,amphib,LF,
2,chloro,chloro,amphib,LF,
2,chloro,chloro,amphib,LF,
2,chloro,chloro,amphib,LF,
2,chloro,chloro,amphib,LF,
4,chloro,chloro,amphib,LF,
4,chloro,chloro,amphib,LF,
4,chloro,chloro,amphib,LF,
4,chloro,chloro,amphib,LF,
4,chloro,chloro,amphib,LF,
4,chloro,chloro,amphib,LF,
6,chloro,chloro,amphib,LF,
6,chloro,chloro,amphib,LF,
6,chloro,chloro,amphib,LF,
6,chloro,chloro,amphib,LF,
6,chloro,chloro,amphib,LF,
6,chloro,chloro,amphib,LF,
8,chloro,chloro,amphib,LF,
8,chloro,chloro,amphib,LF,
8,chloro,chloro,amphib,LF,
8,chloro,chloro,amphib,LF,
8,chloro,chloro,amphib,LF,
8,chloro,chloro,amphib,LF,
10,chloro,chloro,amphib,LF,
10,chloro,chloro,amphib,LF,
10,chloro,chloro,amphib,LF,
10,chloro,chloro,amphib,LF,
10,chloro,chloro,amphib,LF,
10,chloro,chloro,amphib,LF,
0,chloro,chloro,soil,LF,97.54771792
0,chloro,chloro,soil,LF,105.2068112
0,chloro,chloro,soil,LF,104.0471325
0,chloro,chloro,soil,LF,87.83391191
0,chloro,chloro,soil,LF,85.2705886
0,chloro,chloro,soil,LF,110.2800296
2,chloro,chloro,soil,LF,124.7136025
2,chloro,chloro,soil,LF,93.83616294
2,chloro,chloro,soil,LF,131.9151605
2,chloro,chloro,soil,LF,238.150189
2,chloro,chloro,soil,LF,126.1421937
2,chloro,chloro,soil,LF,93.01431818
4,chloro,chloro,soil,LF,54.02956223
4,chloro,chloro,soil,LF,83.94471454
4,chloro,chloro,soil,LF,95.16597984
4,chloro,chloro,soil,LF,108.8411455
4,chloro,chloro,soil,LF,107.8351603
4,chloro,chloro,soil,LF,112.551148
6,chloro,chloro,soil,LF,103.9346865
6,chloro,chloro,soil,LF,133.1324122
6,chloro,chloro,soil,LF,177.201436
6,chloro,chloro,soil,LF,80.2864709
6,chloro,chloro,soil,LF,107.9943699
6,chloro,chloro,soil,LF,75.82071048
8,chloro,chloro,soil,LF,98.34669015
8,chloro,chloro,soil,LF,55.30487111
8,chloro,chloro,soil,LF,68.31816412
8,chloro,chloro,soil,LF,77.37304664
8,chloro,chloro,soil,LF,86.4407278
8,chloro,chloro,soil,LF,134.219346
10,chloro,chloro,soil,LF,102.4324273
10,chloro,chloro,soil,LF,56.13699941
10,chloro,chloro,soil,LF,149.7004603
10,chloro,chloro,soil,LF,69.83049
10,chloro,chloro,soil,LF,51.56836737
10,chloro,chloro,soil,LF,114.5675617
0,metol,metol,amphib,LF,4.267677087
0,metol,metol,amphib,LF,5.721956829
0,metol,metol,amphib,LF,1.748897837
0,metol,metol,amphib,LF,0.806456941
0,metol,metol,amphib,LF,10.63925511
0,metol,metol,amphib,LF,3.688639048
2,metol,metol,amphib,LF,1.640306185
2,metol,metol,amphib,LF,5.639864337
2,metol,metol,amphib,LF,0.985224834
2,metol,metol,amphib,LF,1.159396793
2,metol,metol,amphib,LF,2.57235133
2,metol,metol,amphib,LF,3.19002649
4,metol,metol,amphib,LF,2.3898984
4,metol,metol,amphib,LF,1.780858408
4,metol,metol,amphib,LF,1.08822026
4,metol,metol,amphib,LF,1.829340286
4,metol,metol,amphib,LF,2.345929412
4,metol,metol,amphib,LF,5.291092536
6,metol,metol,amphib,LF,2.100173605
6,metol,metol,amphib,LF,1.114810193
6,metol,metol,amphib,LF,1.378698045
6,metol,metol,amphib,LF,2.253704813
6,metol,metol,amphib,LF,5.376753972
6,metol,metol,amphib,LF,1.702141197
8,metol,metol,amphib,LF,1.181846159
8,metol,metol,amphib,LF,0.746445245
8,metol,metol,amphib,LF,6.060241405
8,metol,metol,amphib,LF,3.979074337
8,metol,metol,amphib,LF,0.90171309
8,metol,metol,amphib,LF,3.452448894
10,metol,metol,amphib,LF,1.574839899
10,metol,metol,amphib,LF,1.123669198
10,metol,metol,amphib,LF,2.558654328
10,metol,metol,amphib,LF,1.949552248
10,metol,metol,amphib,LF,2.179127319
10,metol,metol,amphib,LF,1.130277738
0,metol,mesa,amphib,LF,5.90E-06
0,metol,mesa,amphib,LF,3.20E-06
0,metol,mesa,amphib,LF,1.59E-05
0,metol,mesa,amphib,LF,3.83E-06
0,metol,mesa,amphib,LF,0
0,metol,mesa,amphib,LF,1.94E-06
2,metol,mesa,amphib,LF,0
2,metol,mesa,amphib,LF,2.20E-06
2,metol,mesa,amphib,LF,1.72E-06
2,metol,mesa,amphib,LF,0
2,metol,mesa,amphib,LF,1.16E-05
2,metol,mesa,amphib,LF,1.04E-05
4,metol,mesa,amphib,LF,6.69E-06
4,metol,mesa,amphib,LF,6.02E-06
4,metol,mesa,amphib,LF,0
4,metol,mesa,amphib,LF,7.91E-06
4,metol,mesa,amphib,LF,1.01E-06
4,metol,mesa,amphib,LF,0
6,metol,mesa,amphib,LF,1.28E-06
6,metol,mesa,amphib,LF,9.92E-07
6,metol,mesa,amphib,LF,0
6,metol,mesa,amphib,LF,4.71E-06
6,metol,mesa,amphib,LF,4.17E-06
6,metol,mesa,amphib,LF,1.92E-06
8,metol,mesa,amphib,LF,0
8,metol,mesa,amphib,LF,9.41E-07
8,metol,mesa,amphib,LF,1.19E-05
8,metol,mesa,amphib,LF,1.44E-05
8,metol,mesa,amphib,LF,6.47E-06
8,metol,mesa,amphib,LF,1.08E-05
10,metol,mesa,amphib,LF,2.60E-06
10,metol,mesa,amphib,LF,0
10,metol,mesa,amphib,LF,5.30E-06
10,metol,mesa,amphib,LF,0
10,metol,mesa,amphib,LF,0
10,metol,mesa,amphib,LF,3.09E-06
0,metol,moxa,amphib,LF,4.66E-05
0,metol,moxa,amphib,LF,0.000180044
0,metol,moxa,amphib,LF,7.74E-05
0,metol,moxa,amphib,LF,4.94E-05
0,metol,moxa,amphib,LF,0.00035287
0,metol,moxa,amphib,LF,0.000281637
2,metol,moxa,amphib,LF,3.62E-05
2,metol,moxa,amphib,LF,6.95E-05
2,metol,moxa,amphib,LF,1.27E-05
2,metol,moxa,amphib,LF,5.38E-05
2,metol,moxa,amphib,LF,0.000140995
2,metol,moxa,amphib,LF,9.53E-05
4,metol,moxa,amphib,LF,6.27E-05
4,metol,moxa,amphib,LF,6.34E-05
4,metol,moxa,amphib,LF,3.99E-05
4,metol,moxa,amphib,LF,5.07E-05
4,metol,moxa,amphib,LF,3.53E-05
4,metol,moxa,amphib,LF,0.00012665
6,metol,moxa,amphib,LF,1.45E-05
6,metol,moxa,amphib,LF,5.74E-05
6,metol,moxa,amphib,LF,3.78E-05
6,metol,moxa,amphib,LF,4.46E-05
6,metol,moxa,amphib,LF,7.74E-05
6,metol,moxa,amphib,LF,4.26E-05
8,metol,moxa,amphib,LF,2.90E-05
8,metol,moxa,amphib,LF,4.06E-05
8,metol,moxa,amphib,LF,0.000139442
8,metol,moxa,amphib,LF,8.46E-05
8,metol,moxa,amphib,LF,8.92E-05
8,metol,moxa,amphib,LF,0.000130999
10,metol,moxa,amphib,LF,4.12E-05
10,metol,moxa,amphib,LF,0.000117096
10,metol,moxa,amphib,LF,3.74E-05
10,metol,moxa,amphib,LF,1.22E-05
10,metol,moxa,amphib,LF,0.000111086
10,metol,moxa,amphib,LF,2.70E-05
0,metol,metol,soil,LF,40.64853462
0,metol,metol,soil,LF,48.47519919
0,metol,metol,soil,LF,41.79217276
0,metol,metol,soil,LF,24.38427683
0,metol,metol,soil,LF,77.00037621
0,metol,metol,soil,LF,48.49721515
2,metol,metol,soil,LF,21.427727
2,metol,metol,soil,LF,25.33585131
2,metol,metol,soil,LF,22.98479209
2,metol,metol,soil,LF,28.23363196
2,metol,metol,soil,LF,27.78584836
2,metol,metol,soil,LF,25.00006343
4,metol,metol,soil,LF,19.25500126
4,metol,metol,soil,LF,25.00425435
4,metol,metol,soil,LF,16.93924625
4,metol,metol,soil,LF,19.02585998
4,metol,metol,soil,LF,30.3513881
4,metol,metol,soil,LF,23.64525737
6,metol,metol,soil,LF,16.91928433
6,metol,metol,soil,LF,22.04401189
6,metol,metol,soil,LF,23.36243329
6,metol,metol,soil,LF,23.06676914
6,metol,metol,soil,LF,24.42190264
6,metol,metol,soil,LF,21.24319583
8,metol,metol,soil,LF,18.25491609
8,metol,metol,soil,LF,20.24836634
8,metol,metol,soil,LF,21.33112732
8,metol,metol,soil,LF,24.93070926
8,metol,metol,soil,LF,21.60699195
8,metol,metol,soil,LF,30.64444223
10,metol,metol,soil,LF,12.49664326
10,metol,metol,soil,LF,29.0739971
10,metol,metol,soil,LF,26.60999165
10,metol,metol,soil,LF,18.22540327
10,metol,metol,soil,LF,25.62284834
10,metol,metol,soil,LF,18.37523411
0,metol,mesa,soil,LF,4.13E-06
0,metol,mesa,soil,LF,1.15E-06
0,metol,mesa,soil,LF,6.38E-07
0,metol,mesa,soil,LF,7.92E-07
0,metol,mesa,soil,LF,0
0,metol,mesa,soil,LF,1.80E-06
2,metol,mesa,soil,LF,2.68E-07
2,metol,mesa,soil,LF,3.45E-07
2,metol,mesa,soil,LF,9.21E-07
2,metol,mesa,soil,LF,4.46E-07
2,metol,mesa,soil,LF,5.00E-07
2,metol,mesa,soil,LF,3.70E-07
4,metol,mesa,soil,LF,1.50E-06
4,metol,mesa,soil,LF,6.35E-07
4,metol,mesa,soil,LF,5.64E-07
4,metol,mesa,soil,LF,0
4,metol,mesa,soil,LF,8.09E-07
4,metol,mesa,soil,LF,1.96E-07
6,metol,mesa,soil,LF,8.21E-07
6,metol,mesa,soil,LF,7.32E-07
6,metol,mesa,soil,LF,3.82E-07
6,metol,mesa,soil,LF,1.45E-06
6,metol,mesa,soil,LF,1.19E-06
6,metol,mesa,soil,LF,1.04E-07
8,metol,mesa,soil,LF,7.43E-07
8,metol,mesa,soil,LF,1.27E-06
8,metol,mesa,soil,LF,5.18E-07
8,metol,mesa,soil,LF,1.62E-07
8,metol,mesa,soil,LF,2.50E-07
8,metol,mesa,soil,LF,5.16E-07
10,metol,mesa,soil,LF,8.78E-07
10,metol,mesa,soil,LF,2.63E-07
10,metol,mesa,soil,LF,6.61E-07
10,metol,mesa,soil,LF,9.86E-07
10,metol,mesa,soil,LF,2.08E-06
10,metol,mesa,soil,LF,1.90E-07
0,metol,moxa,soil,LF,5.44E-05
0,metol,moxa,soil,LF,2.64E-05
0,metol,moxa,soil,LF,0.000132873
0,metol,moxa,soil,LF,3.28E-05
0,metol,moxa,soil,LF,0.00011858
0,metol,moxa,soil,LF,3.20E-05
2,metol,moxa,soil,LF,8.07E-05
2,metol,moxa,soil,LF,1.64E-05
2,metol,moxa,soil,LF,2.86E-05
2,metol,moxa,soil,LF,2.25E-05
2,metol,moxa,soil,LF,5.40E-05
2,metol,moxa,soil,LF,2.26E-05
4,metol,moxa,soil,LF,2.17E-05
4,metol,moxa,soil,LF,1.43E-05
4,metol,moxa,soil,LF,4.86E-05
4,metol,moxa,soil,LF,4.68E-05
4,metol,moxa,soil,LF,1.29E-05
4,metol,moxa,soil,LF,9.82E-06
6,metol,moxa,soil,LF,1.30E-05
6,metol,moxa,soil,LF,4.59E-05
6,metol,moxa,soil,LF,2.65E-05
6,metol,moxa,soil,LF,3.54E-05
6,metol,moxa,soil,LF,1.87E-05
6,metol,moxa,soil,LF,7.92E-06
8,metol,moxa,soil,LF,1.86E-05
8,metol,moxa,soil,LF,4.30E-05
8,metol,moxa,soil,LF,1.30E-05
8,metol,moxa,soil,LF,3.69E-05
8,metol,moxa,soil,LF,2.60E-05
8,metol,moxa,soil,LF,2.66E-05
10,metol,moxa,soil,LF,8.26E-05
10,metol,moxa,soil,LF,6.76E-06
10,metol,moxa,soil,LF,4.06E-05
10,metol,moxa,soil,LF,1.80E-05
10,metol,moxa,soil,LF,2.82E-05
10,metol,moxa,soil,LF,5.45E-05
0,tdn,tdn,amphib,LF,0.930939899
0,tdn,tdn,amphib,LF,1.471139657
0,tdn,tdn,amphib,LF,0.829340824
0,tdn,tdn,amphib,LF,0.833541754
0,tdn,tdn,amphib,LF,0.62294824
0,tdn,tdn,amphib,LF,0.78432732
2,tdn,tdn,amphib,LF,1.110827258
2,tdn,tdn,amphib,LF,0.723150994
2,tdn,tdn,amphib,LF,0.72766123
2,tdn,tdn,amphib,LF,0.680213893
2,tdn,tdn,amphib,LF,1.064277918
2,tdn,tdn,amphib,LF,0.368484816
4,tdn,tdn,amphib,LF,0.635182857
4,tdn,tdn,amphib,LF,0.572624649
4,tdn,tdn,amphib,LF,0.504992098
4,tdn,tdn,amphib,LF,0.46549435
4,tdn,tdn,amphib,LF,0.509286041
4,tdn,tdn,amphib,LF,0.284854462
6,tdn,tdn,amphib,LF,0.62355419
6,tdn,tdn,amphib,LF,0.938534356
6,tdn,tdn,amphib,LF,0.959499205
6,tdn,tdn,amphib,LF,0.910419362
6,tdn,tdn,amphib,LF,0.867963913
6,tdn,tdn,amphib,LF,0.734727511
8,tdn,tdn,amphib,LF,0.613327957
8,tdn,tdn,amphib,LF,0.411175415
8,tdn,tdn,amphib,LF,0.200725621
8,tdn,tdn,amphib,LF,0.284065308
8,tdn,tdn,amphib,LF,1.106344271
8,tdn,tdn,amphib,LF,0.710860385
10,tdn,tdn,amphib,LF,0.41777656
10,tdn,tdn,amphib,LF,0.60216825
10,tdn,tdn,amphib,LF,0.560831784
10,tdn,tdn,amphib,LF,0.687153909
10,tdn,tdn,amphib,LF,0.654064226
10,tdn,tdn,amphib,LF,0.489223561
0,tdn,tdla,amphib,LF,0.030925012
0,tdn,tdla,amphib,LF,0.03773171
0,tdn,tdla,amphib,LF,0.026661741
0,tdn,tdla,amphib,LF,0.042852147
0,tdn,tdla,amphib,LF,0.030868109
0,tdn,tdla,amphib,LF,0.026820601
2,tdn,tdla,amphib,LF,0.044374751
2,tdn,tdla,amphib,LF,0.035777188
2,tdn,tdla,amphib,LF,0.030967108
2,tdn,tdla,amphib,LF,0.022701673
2,tdn,tdla,amphib,LF,0.03710433
2,tdn,tdla,amphib,LF,0.021613392
4,tdn,tdla,amphib,LF,0.027889841
4,tdn,tdla,amphib,LF,0.023804326
4,tdn,tdla,amphib,LF,0.018175218
4,tdn,tdla,amphib,LF,0.024380721
4,tdn,tdla,amphib,LF,0.016311275
4,tdn,tdla,amphib,LF,0.018788567
6,tdn,tdla,amphib,LF,0.031996396
6,tdn,tdla,amphib,LF,0.041847321
6,tdn,tdla,amphib,LF,0.028252159
6,tdn,tdla,amphib,LF,0.025813791
6,tdn,tdla,amphib,LF,0.03370205
